provider_type_cd,provider_type_desc,medicare_specialty_code,medicare_speciality_code_desc,id
14-84,PRACTITIONER - PREVENTIVE MEDICINE,84,PREVENTIVE MEDICINE,64
14-85,PRACTITIONER - MAXILLOFACIAL SURGERY,85,MAXILLOFACIAL SURGERY,65
14-86,PRACTITIONER - NEUROPSYCHIATRY,86,NEUROPSYCHIATRY,66
14-88,PRACTITIONER - OTHER (NON-PHYSICIAN),88,OTHER (NON-PHYSICIAN),67
14-89,PRACTITIONER - CERTIFIED CLINICAL NURSE SPECIALIST (CNS),89,CERTIFIED CLINICAL NURSE SPECIALIST (CNS),68
14-90,PRACTITIONER - MEDICAL ONCOLOGY,90,MEDICAL ONCOLOGY,69
14-91,PRACTITIONER - SURGICAL ONCOLOGY,91,SURGICAL ONCOLOGY,70
14-92,PRACTITIONER - RADIATION ONCOLOGY,92,RADIATION ONCOLOGY,71
14-93,PRACTITIONER - EMERGENCY MEDICINE,93,EMERGENCY MEDICINE,72
14-94,PRACTITIONER - INTERVENTIONAL RADIOLOGY,94,INTERVENTIONAL RADIOLOGY,73
14-97,PRACTITIONER - PHYSICIAN ASSISTANT,97,PHYSICIAN ASSISTANT,74
14-98,PRACTITIONER - GYNECOLOGICAL ONCOLOGY,98,GYNECOLOGICAL ONCOLOGY,75
14-99,PRACTITIONER - OTHER (PHYSICIAN),99,OTHER (PHYSICIAN),76
14-C0,PRACTITIONER - SLEEP MEDICINE,C0,SLEEP MEDICINE,77
14-C3,PRACTITIONER - INTERVENTIONAL CARDIOLOGY,C3,INTERVENTIONAL CARDIOLOGY,78
14-C5,PRACTITIONER - DENTIST,C5,DENTIST,79
14-C6,PRACTITIONER - HOSPITALIST,C6,HOSPITALIST,80
14-C7,PRACTITIONER - ADVANCED HEART FAILURE AND TRANSPLANT CARDIOLOGY,C7,ADVANCED HEART FAILURE AND TRANSPLANT CARDIOLOGY,81
14-C8,PRACTITIONER - MEDICAL TOXICOLOGY,C8,MEDICAL TOXICOLOGY,82
14-C9,PRACTITIONER - HEMATOPOIETIC CELL TRANSPLANTATION AND CELLULAR THERAPY,C9,HEMATOPOIETIC CELL TRANSPLANTATION AND CELLULAR THERAPY,83
14-D3,PRACTITIONER - MEDICAL GENETICS AND GENOMICS,D3,MEDICAL GENETICS AND GENOMICS,84
14-D4,PRACTITIONER - UNDERSEA AND HYPERBARIC MEDICINE,D4,UNDERSEA AND HYPERBARIC MEDICINE,85
14-D7,PRACTITIONER - MICROGRAPHIC DERMATOLOGIC SURGERY (MDS),D7,MICROGRAPHIC DERMATOLOGIC SURGERY (MDS),86
14-D8,PRACTITIONER - ADULT CONGENITAL HEART DISEASE (ACHD),D8,ADULT CONGENITAL HEART DISEASE (ACHD),87
14-E1,PRACTITIONER - MARRIAGE AND FAMILY THERAPIST,E1,MARRIAGE AND FAMILY THERAPIST,88
14-E2,PRACTITIONER - MENTAL HEALTH COUNSELOR,E2,MENTAL HEALTH COUNSELOR,89
14-E3,PRACTITIONER - DENTAL ANESTHESIOLOGY,E3,DENTAL ANESTHESIOLOGY,90
