Code,Grouping,Classification,Specialization,Definition,Notes,Display Name,Section
363A00000X,Physician Assistants & Advanced Practice Nursing Providers,Physician Assistant,,"A physician assistant is a person who has successfully completed an accredited education program for physician assistant, is licensed by the state and is practicing within the scope of that license. Physician assistants are formally trained to perform many of the routine, time-consuming tasks a physician can do. In some states, they may prescribe medications. They take medical histories, perform physical exams, order lab tests and x-rays, and give inoculations. Most states require that they work under the supervision of a physician.",,Physician Assistant,Individual
363AM0700X,Physician Assistants & Advanced Practice Nursing Providers,Physician Assistant,Medical,Definition to come...,,Medical Physician Assistant,Individual
363AS0400X,Physician Assistants & Advanced Practice Nursing Providers,Physician Assistant,Surgical,Definition to come...,,Surgical Physician Assistant,Individual
