"facetCredentialCode",facetCredentialName,chosenTaxonomyCode,chosenTaxonomyDescription,providerCount
PA,Physician Assistant,207K00000X,ALLERGY & IMMUNOLOGY PHYSICIAN,45
PA,Physician Assistant,2086X0206X,SURGICAL ONCOLOGY PHYSICIAN,45
PA,Physician Assistant,208VP0014X,INTERVENTIONAL PAIN MEDICINE PHYSICIAN,45
PAC,Physician Assistant Certified,207X00000X,ORTHOPAEDIC SURGERY PHYSICIAN,45
PA-C,Physician Assistant Certified,2085R0204X,VASCULAR & INTERVENTIONAL RADIOLOGY PHYSICIAN,44
PA,Physician Assistant,207L00000X,ANESTHESIOLOGY PHYSICIAN,43
PA,Physician Assistant,207RR0500X,RHEUMATOLOGY PHYSICIAN,41
PA,Physician Assistant,207XS0117X,ORTHOPAEDIC SURGERY OF THE SPINE PHYSICIAN,40
PA,Physician Assistant,2086S0120X,PEDIATRIC SURGERY PHYSICIAN,40
PA-C,Physician Assistant Certified,2086S0122X,PLASTIC AND RECONSTRUCTIVE SURGERY PHYSICIAN,40
PA-C,Physician Assistant Certified,207RI0011X,INTERVENTIONAL CARDIOLOGY PHYSICIAN,38
PA-C,Physician Assistant Certified,2085R0202X,DIAGNOSTIC RADIOLOGY PHYSICIAN,38
PA-C,Physician Assistant Certified,2086S0129X,VASCULAR SURGERY PHYSICIAN,37
PA-C,Physician Assistant Certified,2086X0206X,SURGICAL ONCOLOGY PHYSICIAN,35
PA,Physician Assistant,2080P0203X,PEDIATRIC CRITICAL CARE MEDICINE PHYSICIAN,34
PA-C,Physician Assistant Certified,208VP0014X,INTERVENTIONAL PAIN MEDICINE PHYSICIAN,34
PA-C,Physician Assistant Certified,207RX0202X,MEDICAL ONCOLOGY PHYSICIAN,33
PA,Physician Assistant,204F00000X,TRANSPLANT SURGERY PHYSICIAN,32
PA,Physician Assistant,207RN0300X,NEPHROLOGY PHYSICIAN,32
PA,Physician Assistant,207NS0135X,PROCEDURAL DERMATOLOGY PHYSICIAN,31
PA-C,Physician Assistant Certified,207XS0117X,ORTHOPAEDIC SURGERY OF THE SPINE PHYSICIAN,31
PA-C,Physician Assistant Certified,2080P0204X,PEDIATRIC EMERGENCY MEDICINE (PEDIATRICS) PHYSICIAN,31
