"facetCredentialCode",facetCredentialName,chosenTaxonomyCode,chosenTaxonomyDescription,providerCount
PA,Physician Assistant,2080P0006X,DEVELOPMENTAL - BEHAVIORAL PEDIATRICS PHYSICIAN,3
PA,Physician Assistant,2082S0099X,PLASTIC SURGERY WITHIN THE HEAD AND NECK (PLASTIC SURGERY) PHYSICIAN,3
PA,Physician Assistant,2083P0500X,PREVENTIVE MEDICINE/OCCUPATIONAL ENVIRONMENTAL MEDICINE PHYSICIAN,3
PA,Physician Assistant,2083S0010X,SPORTS MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,3
PA,Physician Assistant,2084V0102X,VASCULAR NEUROLOGY PHYSICIAN,3
PA,Physician Assistant,2085U0001X,DIAGNOSTIC ULTRASOUND PHYSICIAN,3
PA-C,Physician Assistant Certified,202C00000X,INDEPENDENT MEDICAL EXAMINER PHYSICIAN,3
PA-C,Physician Assistant Certified,202K00000X,PHLEBOLOGY PHYSICIAN,3
PA-C,Physician Assistant Certified,207NI0002X,CLINICAL & LABORATORY DERMATOLOGICAL IMMUNOLOGY PHYSICIAN,3
PA-C,Physician Assistant Certified,207QA0000X,ADOLESCENT MEDICINE (FAMILY MEDICINE) PHYSICIAN,3
PA-C,Physician Assistant Certified,207QS0010X,SPORTS MEDICINE (FAMILY MEDICINE) PHYSICIAN,3
PA-C,Physician Assistant Certified,207RH0000X,HEMATOLOGY (INTERNAL MEDICINE) PHYSICIAN,3
PA-C,Physician Assistant Certified,207XX0004X,ORTHOPAEDIC FOOT AND ANKLE SURGERY PHYSICIAN,3
PA-C,Physician Assistant Certified,207YX0007X,PLASTIC SURGERY WITHIN THE HEAD & NECK (OTOLARYNGOLOGY) PHYSICIAN,3
PA-C,Physician Assistant Certified,2080P0006X,DEVELOPMENTAL - BEHAVIORAL PEDIATRICS PHYSICIAN,3
PA-C,Physician Assistant Certified,2080P0205X,PEDIATRIC ENDOCRINOLOGY PHYSICIAN,3
PA-C,Physician Assistant Certified,2080S0010X,PEDIATRIC SPORTS MEDICINE PHYSICIAN,3
PA-C,Physician Assistant Certified,2083B0002X,OBESITY MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,3
PA-C,Physician Assistant Certified,2083P0011X,UNDERSEA AND HYPERBARIC MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,3
PA-C,Physician Assistant Certified,2083S0010X,SPORTS MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,3
PA-C,Physician Assistant Certified,2084A2900X,NEUROCRITICAL CARE PHYSICIAN,3
PA-C,Physician Assistant Certified,2084S0012X,SLEEP MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,3
PAC,Physician Assistant Certified,207NS0135X,PROCEDURAL DERMATOLOGY PHYSICIAN,3
PAC,Physician Assistant Certified,207QA0401X,ADDICTION MEDICINE (FAMILY MEDICINE) PHYSICIAN,3
PAC,Physician Assistant Certified,207QA0505X,ADULT MEDICINE PHYSICIAN,3
PAC,Physician Assistant Certified,207RI0200X,INFECTIOUS DISEASE PHYSICIAN,3
PAC,Physician Assistant Certified,207RP1001X,PULMONARY DISEASE PHYSICIAN,3
PAC,Physician Assistant Certified,207RR0500X,RHEUMATOLOGY PHYSICIAN,3
PAC,Physician Assistant Certified,207RX0202X,MEDICAL ONCOLOGY PHYSICIAN,3
PAC,Physician Assistant Certified,207VG0400X,GYNECOLOGY PHYSICIAN,3
PAC,Physician Assistant Certified,207Y00000X,OTOLARYNGOLOGY PHYSICIAN,3
PAC,Physician Assistant Certified,2084N0400X,NEUROLOGY PHYSICIAN,3
RPA,Registered Physician Assistant,207R00000X,INTERNAL MEDICINE PHYSICIAN,3
RPA-C,Registered Physician Assistant Certified,207P00000X,EMERGENCY MEDICINE PHYSICIAN,3
RPA-C,Registered Physician Assistant Certified,207R00000X,INTERNAL MEDICINE PHYSICIAN,3
RPA-C,Registered Physician Assistant Certified,207RG0100X,GASTROENTEROLOGY PHYSICIAN,3
RPA-C,Registered Physician Assistant Certified,208000000X,PEDIATRICS PHYSICIAN,3
RPA-C,Registered Physician Assistant Certified,2084N0400X,NEUROLOGY PHYSICIAN,3
RPA-C,Registered Physician Assistant Certified,208800000X,UROLOGY PHYSICIAN,3
MPAS,Master of Physician Assistant Studies,207RG0100X,GASTROENTEROLOGY PHYSICIAN,2
MPAS,Master of Physician Assistant Studies,207RH0003X,HEMATOLOGY & ONCOLOGY PHYSICIAN,2
MPAS,Master of Physician Assistant Studies,207V00000X,OBSTETRICS & GYNECOLOGY PHYSICIAN,2
MPAS,Master of Physician Assistant Studies,208200000X,PLASTIC SURGERY PHYSICIAN,2
MPAS,Master of Physician Assistant Studies,2083X0100X,OCCUPATIONAL MEDICINE PHYSICIAN,2
MPAS,Master of Physician Assistant Studies,208600000X,SURGERY PHYSICIAN,2
MPAS,Master of Physician Assistant Studies,208800000X,UROLOGY PHYSICIAN,2
PA,Physician Assistant,207ND0101X,MOHS-MICROGRAPHIC SURGERY PHYSICIAN,2
PA,Physician Assistant,207PE0005X,UNDERSEA AND HYPERBARIC MEDICINE (EMERGENCY MEDICINE) PHYSICIAN,2
PA,Physician Assistant,207PT0002X,MEDICAL TOXICOLOGY (EMERGENCY MEDICINE) PHYSICIAN,2
PA,Physician Assistant,207QB0002X,OBESITY MEDICINE (FAMILY MEDICINE) PHYSICIAN,2
PA,Physician Assistant,207RA0000X,ADOLESCENT MEDICINE (INTERNAL MEDICINE) PHYSICIAN,2
PA,Physician Assistant,207RA0201X,ALLERGY & IMMUNOLOGY (INTERNAL MEDICINE) PHYSICIAN,2
PA,Physician Assistant,207RI0008X,HEPATOLOGY PHYSICIAN,2
PA,Physician Assistant,2081P0004X,SPINAL CORD INJURY MEDICINE PHYSICIAN,2
PA,Physician Assistant,2081P0010X,PEDIATRIC REHABILITATION MEDICINE PHYSICIAN,2
PA,Physician Assistant,2082S0105X,SURGERY OF THE HAND (PLASTIC SURGERY) PHYSICIAN,2
PA,Physician Assistant,2083B0002X,OBESITY MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,2
PA,Physician Assistant,2084P0301X,BRAIN INJURY MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,2
PA,Physician Assistant,2084P0805X,GERIATRIC PSYCHIATRY PHYSICIAN,2
PA,Physician Assistant,2085N0904X,NUCLEAR RADIOLOGY PHYSICIAN,2
PA,Physician Assistant,2086S0105X,SURGERY OF THE HAND (SURGERY) PHYSICIAN,2
PA,Physician Assistant,2088P0231X,PEDIATRIC UROLOGY PHYSICIAN,2
PA-C,Physician Assistant Certified,204C00000X,SPORTS MEDICINE (NEUROMUSCULOSKELETAL MEDICINE) PHYSICIAN,2
PA-C,Physician Assistant Certified,204D00000X,NEUROMUSCULOSKELETAL MEDICINE & OMM PHYSICIAN,2
PA-C,Physician Assistant Certified,207QB0002X,OBESITY MEDICINE (FAMILY MEDICINE) PHYSICIAN,2
PA-C,Physician Assistant Certified,207QH0002X,HOSPICE AND PALLIATIVE MEDICINE (FAMILY MEDICINE) PHYSICIAN,2
PA-C,Physician Assistant Certified,207QS1201X,SLEEP MEDICINE (FAMILY MEDICINE) PHYSICIAN,2
PA-C,Physician Assistant Certified,207RA0000X,ADOLESCENT MEDICINE (INTERNAL MEDICINE) PHYSICIAN,2
PA-C,Physician Assistant Certified,207RI0008X,HEPATOLOGY PHYSICIAN,2
PA-C,Physician Assistant Certified,207WX0107X,RETINA SPECIALIST (OPHTHALMOLOGY) PHYSICIAN,2
PA-C,Physician Assistant Certified,207WX0200X,OPHTHALMIC PLASTIC AND RECONSTRUCTIVE SURGERY PHYSICIAN,2
PA-C,Physician Assistant Certified,207YX0602X,OTOLARYNGIC ALLERGY PHYSICIAN,2
PA-C,Physician Assistant Certified,207YX0901X,OTOLOGY & NEUROTOLOGY PHYSICIAN,2
PA-C,Physician Assistant Certified,2081S0010X,SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,2
PA-C,Physician Assistant Certified,2082S0105X,SURGERY OF THE HAND (PLASTIC SURGERY) PHYSICIAN,2
PA-C,Physician Assistant Certified,2083P0500X,PREVENTIVE MEDICINE/OCCUPATIONAL ENVIRONMENTAL MEDICINE PHYSICIAN,2
PA-C,Physician Assistant Certified,2084N0402X,NEUROLOGY WITH SPECIAL QUALIFICATIONS IN CHILD NEUROLOGY PHYSICIAN,2
PA-C,Physician Assistant Certified,2084P2900X,PAIN MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,2
PA-C,Physician Assistant Certified,2084V0102X,VASCULAR NEUROLOGY PHYSICIAN,2
PA-C,Physician Assistant Certified,2085U0001X,DIAGNOSTIC ULTRASOUND PHYSICIAN,2
PA-C,Physician Assistant Certified,2088F0040X,UROGYNECOLOGY AND RECONSTRUCTIVE PELVIC SURGERY (UROLOGY) PHYSICIAN,2
PA-S,Physician Assistant Student,207P00000X,EMERGENCY MEDICINE PHYSICIAN,2
PA-S,Physician Assistant Student,207V00000X,OBSTETRICS & GYNECOLOGY PHYSICIAN,2
PA-S,Physician Assistant Student,207X00000X,ORTHOPAEDIC SURGERY PHYSICIAN,2
PA-S,Physician Assistant Student,2084P0800X,PSYCHIATRY PHYSICIAN,2
PA-S,Physician Assistant Student,2085R0204X,VASCULAR & INTERVENTIONAL RADIOLOGY PHYSICIAN,2
PA-S,Physician Assistant Student,208M00000X,HOSPITALIST PHYSICIAN,2
PAC,Physician Assistant Certified,204F00000X,TRANSPLANT SURGERY PHYSICIAN,2
PAC,Physician Assistant Certified,207KA0200X,ALLERGY PHYSICIAN,2
PAC,Physician Assistant Certified,207NI0002X,CLINICAL & LABORATORY DERMATOLOGICAL IMMUNOLOGY PHYSICIAN,2
PAC,Physician Assistant Certified,207RA0401X,ADDICTION MEDICINE (INTERNAL MEDICINE) PHYSICIAN,2
PAC,Physician Assistant Certified,207RH0002X,HOSPICE AND PALLIATIVE MEDICINE (INTERNAL MEDICINE) PHYSICIAN,2
PAC,Physician Assistant Certified,207RS0012X,SLEEP MEDICINE (INTERNAL MEDICINE) PHYSICIAN,2
PAC,Physician Assistant Certified,207VX0201X,GYNECOLOGIC ONCOLOGY PHYSICIAN,2
PAC,Physician Assistant Certified,2083P0500X,PREVENTIVE MEDICINE/OCCUPATIONAL ENVIRONMENTAL MEDICINE PHYSICIAN,2
PAC,Physician Assistant Certified,2083X0100X,OCCUPATIONAL MEDICINE PHYSICIAN,2
PAC,Physician Assistant Certified,2086S0122X,PLASTIC AND RECONSTRUCTIVE SURGERY PHYSICIAN,2
RPA,Registered Physician Assistant,207XX0005X,SPORTS MEDICINE (ORTHOPAEDIC SURGERY) PHYSICIAN,2
RPA,Registered Physician Assistant,208800000X,UROLOGY PHYSICIAN,2
RPA-C,Registered Physician Assistant Certified,207V00000X,OBSTETRICS & GYNECOLOGY PHYSICIAN,2
RPA-C,Registered Physician Assistant Certified,208600000X,SURGERY PHYSICIAN,2
MPAS,Master of Physician Assistant Studies,207K00000X,ALLERGY & IMMUNOLOGY PHYSICIAN,1
MPAS,Master of Physician Assistant Studies,207NP0225X,PEDIATRIC DERMATOLOGY PHYSICIAN,1
MPAS,Master of Physician Assistant Studies,207QS1201X,SLEEP MEDICINE (FAMILY MEDICINE) PHYSICIAN,1
MPAS,Master of Physician Assistant Studies,207RC0200X,CRITICAL CARE MEDICINE (INTERNAL MEDICINE) PHYSICIAN,1
MPAS,Master of Physician Assistant Studies,207RE0101X,"ENDOCRINOLOGY, DIABETES & METABOLISM PHYSICIAN",1
MPAS,Master of Physician Assistant Studies,207RR0500X,RHEUMATOLOGY PHYSICIAN,1
MPAS,Master of Physician Assistant Studies,207RS0012X,SLEEP MEDICINE (INTERNAL MEDICINE) PHYSICIAN,1
MPAS,Master of Physician Assistant Studies,207T00000X,NEUROLOGICAL SURGERY PHYSICIAN,1
MPAS,Master of Physician Assistant Studies,207XS0106X,ORTHOPAEDIC HAND SURGERY PHYSICIAN,1
MPAS,Master of Physician Assistant Studies,207XS0117X,ORTHOPAEDIC SURGERY OF THE SPINE PHYSICIAN,1
MPAS,Master of Physician Assistant Studies,207Y00000X,OTOLARYNGOLOGY PHYSICIAN,1
MPAS,Master of Physician Assistant Studies,2080A0000X,PEDIATRIC ADOLESCENT MEDICINE PHYSICIAN,1
MPAS,Master of Physician Assistant Studies,2080P0203X,PEDIATRIC CRITICAL CARE MEDICINE PHYSICIAN,1
MPAS,Master of Physician Assistant Studies,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,1
MPAS,Master of Physician Assistant Studies,2083P0011X,UNDERSEA AND HYPERBARIC MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,1
MPAS,Master of Physician Assistant Studies,2085R0202X,DIAGNOSTIC RADIOLOGY PHYSICIAN,1
MPAS,Master of Physician Assistant Studies,2086S0122X,PLASTIC AND RECONSTRUCTIVE SURGERY PHYSICIAN,1
MPAS,Master of Physician Assistant Studies,2086S0127X,TRAUMA SURGERY PHYSICIAN,1
MPAS,Master of Physician Assistant Studies,2086X0206X,SURGICAL ONCOLOGY PHYSICIAN,1
MPAS,Master of Physician Assistant Studies,208C00000X,COLON & RECTAL SURGERY PHYSICIAN,1
MPAS,Master of Physician Assistant Studies,208D00000X,GENERAL PRACTICE PHYSICIAN,1
MPAS,Master of Physician Assistant Studies,208M00000X,HOSPITALIST PHYSICIAN,1
PA,Physician Assistant,207LP3000X,PEDIATRIC ANESTHESIOLOGY PHYSICIAN,1
PA,Physician Assistant,207ND0900X,DERMATOPATHOLOGY PHYSICIAN,1
PA,Physician Assistant,207RA0002X,ADULT CONGENITAL HEART DISEASE PHYSICIAN,1
PA,Physician Assistant,207RB0002X,OBESITY MEDICINE (INTERNAL MEDICINE) PHYSICIAN,1
PA,Physician Assistant,207SG0201X,CLINICAL GENETICS (M.D.) PHYSICIAN,1
PA,Physician Assistant,207U00000X,NUCLEAR MEDICINE PHYSICIAN,1
PA,Physician Assistant,207UN0901X,NUCLEAR CARDIOLOGY PHYSICIAN,1
PA,Physician Assistant,207VC0200X,CRITICAL CARE MEDICINE (OBSTETRICS & GYNECOLOGY) PHYSICIAN,1
PA,Physician Assistant,207VC0300X,COMPLEX FAMILY PLANNING PHYSICIAN,1
PA,Physician Assistant,207YS0123X,FACIAL PLASTIC SURGERY PHYSICIAN,1
PA,Physician Assistant,207YX0901X,OTOLOGY & NEUROTOLOGY PHYSICIAN,1
PA,Physician Assistant,207ZB0001X,BLOOD BANKING & TRANSFUSION MEDICINE PHYSICIAN,1
PA,Physician Assistant,207ZC0006X,CLINICAL PATHOLOGY PHYSICIAN,1
PA,Physician Assistant,207ZN0500X,NEUROPATHOLOGY PHYSICIAN,1
PA,Physician Assistant,207ZP0105X,CLINICAL PATHOLOGY/LABORATORY MEDICINE PHYSICIAN,1
PA,Physician Assistant,2080C0008X,CHILD ABUSE PEDIATRICS PHYSICIAN,1
PA,Physician Assistant,2080S0012X,PEDIATRIC SLEEP MEDICINE PHYSICIAN,1
PA,Physician Assistant,2080T0004X,PEDIATRIC TRANSPLANT HEPATOLOGY PHYSICIAN,1
PA,Physician Assistant,2081N0008X,NEUROMUSCULAR MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,1
PA,Physician Assistant,2081P0301X,BRAIN INJURY MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,1
PA,Physician Assistant,2083A0100X,AEROSPACE MEDICINE PHYSICIAN,1
PA,Physician Assistant,2084N0008X,NEUROMUSCULAR MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,1
PA,Physician Assistant,2084P0015X,PSYCHOSOMATIC MEDICINE PHYSICIAN,1
PA,Physician Assistant,2084P2900X,PAIN MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,1
PA,Physician Assistant,2085D0003X,DIAGNOSTIC NEUROIMAGING (RADIOLOGY) PHYSICIAN,1
PA,Physician Assistant,2085N0700X,NEURORADIOLOGY PHYSICIAN,1
PA,Physician Assistant,2085R0203X,THERAPEUTIC RADIOLOGY PHYSICIAN,1
PA,Physician Assistant,2086H0002X,HOSPICE AND PALLIATIVE MEDICINE (SURGERY) PHYSICIAN,1
PA-C,Physician Assistant Certified,204E00000X,ORAL & MAXILLOFACIAL SURGERY (D.M.D.),1
PA-C,Physician Assistant Certified,207ND0101X,MOHS-MICROGRAPHIC SURGERY PHYSICIAN,1
PA-C,Physician Assistant Certified,207ND0900X,DERMATOPATHOLOGY PHYSICIAN,1
PA-C,Physician Assistant Certified,207PE0005X,UNDERSEA AND HYPERBARIC MEDICINE (EMERGENCY MEDICINE) PHYSICIAN,1
PA-C,Physician Assistant Certified,207PT0002X,MEDICAL TOXICOLOGY (EMERGENCY MEDICINE) PHYSICIAN,1
PA-C,Physician Assistant Certified,207RA0002X,ADULT CONGENITAL HEART DISEASE PHYSICIAN,1
PA-C,Physician Assistant Certified,207RB0002X,OBESITY MEDICINE (INTERNAL MEDICINE) PHYSICIAN,1
PA-C,Physician Assistant Certified,207SG0201X,CLINICAL GENETICS (M.D.) PHYSICIAN,1
PA-C,Physician Assistant Certified,207VC0300X,COMPLEX FAMILY PLANNING PHYSICIAN,1
PA-C,Physician Assistant Certified,207ZB0001X,BLOOD BANKING & TRANSFUSION MEDICINE PHYSICIAN,1
PA-C,Physician Assistant Certified,2080B0002X,PEDIATRIC OBESITY MEDICINE PHYSICIAN,1
PA-C,Physician Assistant Certified,2080P0208X,PEDIATRIC INFECTIOUS DISEASES PHYSICIAN,1
PA-C,Physician Assistant Certified,2080T0004X,PEDIATRIC TRANSPLANT HEPATOLOGY PHYSICIAN,1
PA-C,Physician Assistant Certified,2081P0010X,PEDIATRIC REHABILITATION MEDICINE PHYSICIAN,1
PA-C,Physician Assistant Certified,2081P0301X,BRAIN INJURY MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,1
PA-C,Physician Assistant Certified,2083A0100X,AEROSPACE MEDICINE PHYSICIAN,1
PA-C,Physician Assistant Certified,2084N0008X,NEUROMUSCULAR MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,1
PA-C,Physician Assistant Certified,2084P0301X,BRAIN INJURY MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,1
PA-C,Physician Assistant Certified,2085D0003X,DIAGNOSTIC NEUROIMAGING (RADIOLOGY) PHYSICIAN,1
PA-C,Physician Assistant Certified,2085N0700X,NEURORADIOLOGY PHYSICIAN,1
PA-C,Physician Assistant Certified,2085N0904X,NUCLEAR RADIOLOGY PHYSICIAN,1
PA-C,Physician Assistant Certified,2085R0203X,THERAPEUTIC RADIOLOGY PHYSICIAN,1
PA-C,Physician Assistant Certified,2086H0002X,HOSPICE AND PALLIATIVE MEDICINE (SURGERY) PHYSICIAN,1
PA-C,Physician Assistant Certified,2086S0105X,SURGERY OF THE HAND (SURGERY) PHYSICIAN,1
PA-C,Physician Assistant Certified,2088P0231X,PEDIATRIC UROLOGY PHYSICIAN,1
PA-S,Physician Assistant Student,204F00000X,TRANSPLANT SURGERY PHYSICIAN,1
PA-S,Physician Assistant Student,207N00000X,DERMATOLOGY PHYSICIAN,1
PA-S,Physician Assistant Student,207PE0004X,EMERGENCY MEDICAL SERVICES (EMERGENCY MEDICINE) PHYSICIAN,1
PA-S,Physician Assistant Student,207R00000X,INTERNAL MEDICINE PHYSICIAN,1
PA-S,Physician Assistant Student,207RC0000X,CARDIOVASCULAR DISEASE PHYSICIAN,1
PA-S,Physician Assistant Student,207RI0011X,INTERVENTIONAL CARDIOLOGY PHYSICIAN,1
PA-S,Physician Assistant Student,207RN0300X,NEPHROLOGY PHYSICIAN,1
PA-S,Physician Assistant Student,207RP1001X,PULMONARY DISEASE PHYSICIAN,1
PA-S,Physician Assistant Student,207RR0500X,RHEUMATOLOGY PHYSICIAN,1
PA-S,Physician Assistant Student,207Y00000X,OTOLARYNGOLOGY PHYSICIAN,1
PA-S,Physician Assistant Student,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,1
PA-S,Physician Assistant Student,2084V0102X,VASCULAR NEUROLOGY PHYSICIAN,1
PA-S,Physician Assistant Student,208600000X,SURGERY PHYSICIAN,1
PA-S,Physician Assistant Student,2086S0127X,TRAUMA SURGERY PHYSICIAN,1
PA-S,Physician Assistant Student,2086X0206X,SURGICAL ONCOLOGY PHYSICIAN,1
PA-S,Physician Assistant Student,208VP0000X,PAIN MEDICINE PHYSICIAN,1
PAC,Physician Assistant Certified,202D00000X,INTEGRATIVE MEDICINE PHYSICIAN,1
PAC,Physician Assistant Certified,204C00000X,SPORTS MEDICINE (NEUROMUSCULOSKELETAL MEDICINE) PHYSICIAN,1
PAC,Physician Assistant Certified,207LP2900X,PAIN MEDICINE (ANESTHESIOLOGY) PHYSICIAN,1
PAC,Physician Assistant Certified,207NP0225X,PEDIATRIC DERMATOLOGY PHYSICIAN,1
PAC,Physician Assistant Certified,207PS0010X,SPORTS MEDICINE (EMERGENCY MEDICINE) PHYSICIAN,1
PAC,Physician Assistant Certified,207QA0000X,ADOLESCENT MEDICINE (FAMILY MEDICINE) PHYSICIAN,1
PAC,Physician Assistant Certified,207QH0002X,HOSPICE AND PALLIATIVE MEDICINE (FAMILY MEDICINE) PHYSICIAN,1
PAC,Physician Assistant Certified,207RA0000X,ADOLESCENT MEDICINE (INTERNAL MEDICINE) PHYSICIAN,1
PAC,Physician Assistant Certified,207RG0300X,GERIATRIC MEDICINE (INTERNAL MEDICINE) PHYSICIAN,1
PAC,Physician Assistant Certified,207RH0000X,HEMATOLOGY (INTERNAL MEDICINE) PHYSICIAN,1
PAC,Physician Assistant Certified,207RS0010X,SPORTS MEDICINE (INTERNAL MEDICINE) PHYSICIAN,1
PAC,Physician Assistant Certified,207XS0106X,ORTHOPAEDIC HAND SURGERY PHYSICIAN,1
PAC,Physician Assistant Certified,207XS0114X,ADULT RECONSTRUCTIVE ORTHOPAEDIC SURGERY PHYSICIAN,1
PAC,Physician Assistant Certified,2080A0000X,PEDIATRIC ADOLESCENT MEDICINE PHYSICIAN,1
PAC,Physician Assistant Certified,2080C0008X,CHILD ABUSE PEDIATRICS PHYSICIAN,1
PAC,Physician Assistant Certified,2080P0202X,PEDIATRIC CARDIOLOGY PHYSICIAN,1
PAC,Physician Assistant Certified,2080P0203X,PEDIATRIC CRITICAL CARE MEDICINE PHYSICIAN,1
PAC,Physician Assistant Certified,2080P0204X,PEDIATRIC EMERGENCY MEDICINE (PEDIATRICS) PHYSICIAN,1
PAC,Physician Assistant Certified,2080P0205X,PEDIATRIC ENDOCRINOLOGY PHYSICIAN,1
PAC,Physician Assistant Certified,2081P0004X,SPINAL CORD INJURY MEDICINE PHYSICIAN,1
PAC,Physician Assistant Certified,2081P0010X,PEDIATRIC REHABILITATION MEDICINE PHYSICIAN,1
PAC,Physician Assistant Certified,208200000X,PLASTIC SURGERY PHYSICIAN,1
PAC,Physician Assistant Certified,2084B0040X,BEHAVIORAL NEUROLOGY & NEUROPSYCHIATRY PHYSICIAN,1
PAC,Physician Assistant Certified,2084P0301X,BRAIN INJURY MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,1
PAC,Physician Assistant Certified,2084P0804X,CHILD & ADOLESCENT PSYCHIATRY PHYSICIAN,1
PAC,Physician Assistant Certified,2084V0102X,VASCULAR NEUROLOGY PHYSICIAN,1
PAC,Physician Assistant Certified,2086S0120X,PEDIATRIC SURGERY PHYSICIAN,1
PAC,Physician Assistant Certified,2086S0129X,VASCULAR SURGERY PHYSICIAN,1
PAC,Physician Assistant Certified,208VP0014X,INTERVENTIONAL PAIN MEDICINE PHYSICIAN,1
RPA,Registered Physician Assistant,207NP0225X,PEDIATRIC DERMATOLOGY PHYSICIAN,1
RPA,Registered Physician Assistant,207PE0004X,EMERGENCY MEDICAL SERVICES (EMERGENCY MEDICINE) PHYSICIAN,1
RPA,Registered Physician Assistant,207X00000X,ORTHOPAEDIC SURGERY PHYSICIAN,1
RPA,Registered Physician Assistant,207XS0106X,ORTHOPAEDIC HAND SURGERY PHYSICIAN,1
RPA,Registered Physician Assistant,208000000X,PEDIATRICS PHYSICIAN,1
RPA,Registered Physician Assistant,2083A0300X,ADDICTION MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,1
RPA-C,Registered Physician Assistant Certified,202D00000X,INTEGRATIVE MEDICINE PHYSICIAN,1
RPA-C,Registered Physician Assistant Certified,207L00000X,ANESTHESIOLOGY PHYSICIAN,1
RPA-C,Registered Physician Assistant Certified,207NP0225X,PEDIATRIC DERMATOLOGY PHYSICIAN,1
RPA-C,Registered Physician Assistant Certified,207PE0004X,EMERGENCY MEDICAL SERVICES (EMERGENCY MEDICINE) PHYSICIAN,1
RPA-C,Registered Physician Assistant Certified,207QA0505X,ADULT MEDICINE PHYSICIAN,1
RPA-C,Registered Physician Assistant Certified,207RT0003X,TRANSPLANT HEPATOLOGY PHYSICIAN,1
RPA-C,Registered Physician Assistant Certified,207VG0400X,GYNECOLOGY PHYSICIAN,1
RPA-C,Registered Physician Assistant Certified,207W00000X,OPHTHALMOLOGY PHYSICIAN,1
RPA-C,Registered Physician Assistant Certified,207XS0106X,ORTHOPAEDIC HAND SURGERY PHYSICIAN,1
RPA-C,Registered Physician Assistant Certified,207XX0005X,SPORTS MEDICINE (ORTHOPAEDIC SURGERY) PHYSICIAN,1
RPA-C,Registered Physician Assistant Certified,2086S0102X,SURGICAL CRITICAL CARE PHYSICIAN,1
