﻿"facetCredentialCode","facetCredentialName","chosenTaxonomyCode","chosenTaxonomyDescription","providerCount"
"PA","Physician Assistant","208800000X","UROLOGY PHYSICIAN","163"
"FNP","Family Nurse Practitioner","207P00000X","EMERGENCY MEDICINE PHYSICIAN","161"
"NP","Nurse Practitioner","207RN0300X","NEPHROLOGY PHYSICIAN","158"
"PA","Physician Assistant","208G00000X","THORACIC SURGERY (CARDIOTHORACIC VASCULAR SURGERY) PHYSICIAN","152"
"PA","Physician Assistant","207T00000X","NEUROLOGICAL SURGERY PHYSICIAN","147"
"PA","Physician Assistant","207V00000X","OBSTETRICS & GYNECOLOGY PHYSICIAN","147"
"PA","Physician Assistant","207RC0000X","CARDIOVASCULAR DISEASE PHYSICIAN","146"
"PA-C","Physician Assistant Certified","208000000X","PEDIATRICS PHYSICIAN","146"
"PA-C","Physician Assistant Certified","2084P0800X","PSYCHIATRY PHYSICIAN","145"
"CPNP-PC","Certified Pediatric Nurse Practitioner Primary Care","208000000X","PEDIATRICS PHYSICIAN","144"
"NP","Nurse Practitioner","207RG0100X","GASTROENTEROLOGY PHYSICIAN","144"
"APN","Advanced Practice Nurse","207Q00000X","FAMILY MEDICINE PHYSICIAN","143"
"NP","Nurse Practitioner","208VP0000X","PAIN MEDICINE PHYSICIAN","143"
"ATC","Athletic Trainer Certified","207PS0010X","SPORTS MEDICINE (EMERGENCY MEDICINE) PHYSICIAN","142"
"AA","Associate of Arts","207L00000X","ANESTHESIOLOGY PHYSICIAN","141"
"LAT","Licensed Athletic Trainer","2081S0010X","SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN","141"
"NP","Nurse Practitioner","207RP1001X","PULMONARY DISEASE PHYSICIAN","136"
"PNP","Pediatric Nurse Practitioner","208000000X","PEDIATRICS PHYSICIAN","136"
"PA","Physician Assistant","207RG0100X","GASTROENTEROLOGY PHYSICIAN","135"
"NP","Nurse Practitioner","207RE0101X","ENDOCRINOLOGY, DIABETES & METABOLISM PHYSICIAN","133"
"NP","Nurse Practitioner","208600000X","SURGERY PHYSICIAN","132"
"NP","Nurse Practitioner","207QG0300X","GERIATRIC MEDICINE (FAMILY MEDICINE) PHYSICIAN","129"
"NP","Nurse Practitioner","208800000X","UROLOGY PHYSICIAN","128"
"OD","Doctor of Optometry","207W00000X","OPHTHALMOLOGY PHYSICIAN","127"
"NP","Nurse Practitioner","207RI0011X","INTERVENTIONAL CARDIOLOGY PHYSICIAN","126"
"RDMS","Registered Diagnostic Medical Sonographer","2085U0001X","DIAGNOSTIC ULTRASOUND PHYSICIAN","123"
"NP","Nurse Practitioner","207RG0300X","GERIATRIC MEDICINE (INTERNAL MEDICINE) PHYSICIAN","117"
"OTR","Occupational Therapist Registered","208100000X","PHYSICAL MEDICINE & REHABILITATION PHYSICIAN","117"
"NP","Nurse Practitioner","207X00000X","ORTHOPAEDIC SURGERY PHYSICIAN","116"
"NP","Nurse Practitioner","207T00000X","NEUROLOGICAL SURGERY PHYSICIAN","115"
"NP","Nurse Practitioner","207RH0002X","HOSPICE AND PALLIATIVE MEDICINE (INTERNAL MEDICINE) PHYSICIAN","112"
"PA-C","Physician Assistant Certified","208800000X","UROLOGY PHYSICIAN","111"
"FNP","Family Nurse Practitioner","207QA0505X","ADULT MEDICINE PHYSICIAN","109"
"LCSW","Licensed Clinical Social Worker","2084P0800X","PSYCHIATRY PHYSICIAN","109"
"RN","Registered Nurse","2084P0800X","PSYCHIATRY PHYSICIAN","109"
"FNP-C","Family Nurse Practitioner","207R00000X","INTERNAL MEDICINE PHYSICIAN","108"
"PA","Physician Assistant","207RH0003X","HEMATOLOGY & ONCOLOGY PHYSICIAN","108"
"PAC","Physician Assistant Certified","207P00000X","EMERGENCY MEDICINE PHYSICIAN","107"
"NP","Nurse Practitioner","208100000X","PHYSICAL MEDICINE & REHABILITATION PHYSICIAN","105"
"NURSE","Nurse","207Q00000X","FAMILY MEDICINE PHYSICIAN","105"
"PA","Physician Assistant","207PE0004X","EMERGENCY MEDICAL SERVICES (EMERGENCY MEDICINE) PHYSICIAN","105"
"PA","Physician Assistant","208D00000X","GENERAL PRACTICE PHYSICIAN","104"
"PA","Physician Assistant","2084N0400X","NEUROLOGY PHYSICIAN","102"
"PA","Physician Assistant","207Y00000X","OTOLARYNGOLOGY PHYSICIAN","100"
"ATC","Athletic Trainer Certified","2083S0010X","SPORTS MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN","96"
"LMFT","Licensed Marriage and Family Therapist","2084P0800X","PSYCHIATRY PHYSICIAN","95"
"PA-C","Physician Assistant Certified","207RG0100X","GASTROENTEROLOGY PHYSICIAN","95"
"NP","Nurse Practitioner","207RX0202X","MEDICAL ONCOLOGY PHYSICIAN","93"
"PA-C","Physician Assistant Certified","207T00000X","NEUROLOGICAL SURGERY PHYSICIAN","93"
"PA-C","Physician Assistant Certified","208G00000X","THORACIC SURGERY (CARDIOTHORACIC VASCULAR SURGERY) PHYSICIAN","93"
"PHD","Doctor of Philosophy","207SG0203X","CLINICAL MOLECULAR GENETICS PHYSICIAN","93"
"PHD","Doctor of Philosophy","2084P0804X","CHILD & ADOLESCENT PSYCHIATRY PHYSICIAN","92"
"PsyD","Doctor of Psychology","2084P0800X","PSYCHIATRY PHYSICIAN","92"
"NP","Nurse Practitioner","207RI0200X","INFECTIOUS DISEASE PHYSICIAN","91"
"FNP","Family Nurse Practitioner","208000000X","PEDIATRICS PHYSICIAN","89"
"PA-C","Physician Assistant Certified","207V00000X","OBSTETRICS & GYNECOLOGY PHYSICIAN","89"
"OT","Occupational Therapist","208100000X","PHYSICAL MEDICINE & REHABILITATION PHYSICIAN","88"
"RN","Registered Nurse","208000000X","PEDIATRICS PHYSICIAN","88"
"PA","Physician Assistant","208VP0000X","PAIN MEDICINE PHYSICIAN","87"
"PharmD","Doctor of Pharmacy","208U00000X","CLINICAL PHARMACOLOGY PHYSICIAN","87"
"NP","Nurse Practitioner","207QH0002X","HOSPICE AND PALLIATIVE MEDICINE (FAMILY MEDICINE) PHYSICIAN","86"
"DNP","Doctor of Nursing Practice","207L00000X","ANESTHESIOLOGY PHYSICIAN","85"
"FNP","Family Nurse Practitioner","207N00000X","DERMATOLOGY PHYSICIAN","85"
"PHD","Doctor of Philosophy","207SC0300X","CLINICAL CYTOGENETICS PHYSICIAN","85"
"DNP","Doctor of Nursing Practice","2084P0800X","PSYCHIATRY PHYSICIAN","84"
"NP","Nurse Practitioner","207L00000X","ANESTHESIOLOGY PHYSICIAN","84"
"FNP","Family Nurse Practitioner","208M00000X","HOSPITALIST PHYSICIAN","83"
"NP","Nurse Practitioner","208VP0014X","INTERVENTIONAL PAIN MEDICINE PHYSICIAN","83"
"FNP","Family Nurse Practitioner","208D00000X","GENERAL PRACTICE PHYSICIAN","82"
"CAA","Certified Audiologist Assistant","207L00000X","ANESTHESIOLOGY PHYSICIAN","81"
"NP","Nurse Practitioner","208G00000X","THORACIC SURGERY (CARDIOTHORACIC VASCULAR SURGERY) PHYSICIAN","81"
"OTR/L","Occupational Therapist Registered/Licensed","208100000X","PHYSICAL MEDICINE & REHABILITATION PHYSICIAN","80"
"PA","Physician Assistant","207RE0101X","ENDOCRINOLOGY, DIABETES & METABOLISM PHYSICIAN","80"
"PTA","Physical Therapist Assistant","2081S0010X","SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN","79"
"NP","Nurse Practitioner","207RC0200X","CRITICAL CARE MEDICINE (INTERNAL MEDICINE) PHYSICIAN","78"
"DNP","Doctor of Nursing Practice","208000000X","PEDIATRICS PHYSICIAN","77"
"PA-C","Physician Assistant Certified","2084N0400X","NEUROLOGY PHYSICIAN","77"
"CSFA","Certified School Food Administrator","208600000X","SURGERY PHYSICIAN","75"
"NP","Nurse Practitioner","2084P0804X","CHILD & ADOLESCENT PSYCHIATRY PHYSICIAN","75"
"DPM","Doctor of Podiatric Medicine","207XX0004X","ORTHOPAEDIC FOOT AND ANKLE SURGERY PHYSICIAN","74"
"FNP-C","Family Nurse Practitioner","207QA0505X","ADULT MEDICINE PHYSICIAN","74"
"ND","Doctor of Naturopathic Medicine","207Q00000X","FAMILY MEDICINE PHYSICIAN","74"
"MPT","Master of Physical Therapy","208100000X","PHYSICAL MEDICINE & REHABILITATION PHYSICIAN","73"
"PA","Physician Assistant","207XX0005X","SPORTS MEDICINE (ORTHOPAEDIC SURGERY) PHYSICIAN","72"
"MSN","Master of Science in Nursing","208000000X","PEDIATRICS PHYSICIAN","71"
"NP","Nurse Practitioner","2080P0207X","PEDIATRIC HEMATOLOGY & ONCOLOGY PHYSICIAN","71"
"CRNP","Certified Registered Nurse Practitioner","208000000X","PEDIATRICS PHYSICIAN","70"
"PA","Physician Assistant","207RC0200X","CRITICAL CARE MEDICINE (INTERNAL MEDICINE) PHYSICIAN","70"
"PA","Physician Assistant","207QA0505X","ADULT MEDICINE PHYSICIAN","69"
"PA","Physician Assistant","208100000X","PHYSICAL MEDICINE & REHABILITATION PHYSICIAN","69"
"NP","Nurse Practitioner","207PE0004X","EMERGENCY MEDICAL SERVICES (EMERGENCY MEDICINE) PHYSICIAN","68"
"NP","Nurse Practitioner","207VG0400X","GYNECOLOGY PHYSICIAN","68"
"PA-C","Physician Assistant Certified","207RC0000X","CARDIOVASCULAR DISEASE PHYSICIAN","68"
"RN","Registered Nurse","207R00000X","INTERNAL MEDICINE PHYSICIAN","68"
"NNP","Neonatal Nurse Practitioner","2080N0001X","NEONATAL-PERINATAL MEDICINE PHYSICIAN","67"
"PA","Physician Assistant","2085R0202X","DIAGNOSTIC RADIOLOGY PHYSICIAN","67"
"PT","Physical Therapist","2081P0010X","PEDIATRIC REHABILITATION MEDICINE PHYSICIAN","67"
"RN","Registered Nurse","2083P0901X","PUBLIC HEALTH & GENERAL PREVENTIVE MEDICINE PHYSICIAN","67"
"RPT","Registered Physical Therapist","208100000X","PHYSICAL MEDICINE & REHABILITATION PHYSICIAN","67"
"LAT","Licensed Athletic Trainer","207PS0010X","SPORTS MEDICINE (EMERGENCY MEDICINE) PHYSICIAN","66"
"PA","Physician Assistant","207RI0011X","INTERVENTIONAL CARDIOLOGY PHYSICIAN","66"
"MS","Master of Science","207Q00000X","FAMILY MEDICINE PHYSICIAN","65"
"PA-C","Physician Assistant Certified","207RH0003X","HEMATOLOGY & ONCOLOGY PHYSICIAN","65"
"PA-C","Physician Assistant Certified","208VP0000X","PAIN MEDICINE PHYSICIAN","65"
"FNP","Family Nurse Practitioner","207V00000X","OBSTETRICS & GYNECOLOGY PHYSICIAN","64"
"NP","Nurse Practitioner","2080P0203X","PEDIATRIC CRITICAL CARE MEDICINE PHYSICIAN","64"
"MSN","Master of Science in Nursing","2084P0800X","PSYCHIATRY PHYSICIAN","63"
"MA","Master of Arts","2084P0800X","PSYCHIATRY PHYSICIAN","61"
"NP","Nurse Practitioner","2080P0204X","PEDIATRIC EMERGENCY MEDICINE (PEDIATRICS) PHYSICIAN","61"
