"facetCredentialCode",facetCredentialName,chosenTaxonomyCode,chosenTaxonomyDescription,providerCount
BA,Bachelor of Arts,207VE0102X,REPRODUCTIVE ENDOCRINOLOGY PHYSICIAN,1
BA,Bachelor of Arts,2080H0002X,PEDIATRIC HOSPICE AND PALLIATIVE MEDICINE PHYSICIAN,1
BA,Bachelor of Arts,2080P0006X,DEVELOPMENTAL - BEHAVIORAL PEDIATRICS PHYSICIAN,1
BA,Bachelor of Arts,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,1
BA,Bachelor of Arts,2083A0300X,ADDICTION MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,1
BA,Bachelor of Arts,2084N0400X,NEUROLOGY PHYSICIAN,1
BA,Bachelor of Arts,208600000X,SURGERY PHYSICIAN,1
BA,Bachelor of Arts,2086S0127X,TRAUMA SURGERY PHYSICIAN,1
BA,Bachelor of Arts,208VP0000X,PAIN MEDICINE PHYSICIAN,1
BCABA,Board Certified Assistant Behavior Analyst,2080P0006X,DEVELOPMENTAL - BEHAVIORAL PEDIATRICS PHYSICIAN,1
BCABA,Board Certified Assistant Behavior Analyst,2084P0800X,PSYCHIATRY PHYSICIAN,1
BCBA,Board Certified Behavior Analyst,2084P0005X,NEURODEVELOPMENTAL DISABILITIES PHYSICIAN,1
BCPP,Board Certified Psychiatric Pharmacist,208D00000X,GENERAL PRACTICE PHYSICIAN,1
BCPP,Board Certified Psychiatric Pharmacist,208U00000X,CLINICAL PHARMACOLOGY PHYSICIAN,1
BCPS,Board Certified Pharmacotherapy Specialist,208U00000X,CLINICAL PHARMACOLOGY PHYSICIAN,1
BDS,Bachelor of Dental Surgery,208600000X,SURGERY PHYSICIAN,1
BMS,Bachelor of Medical Science,207ZP0102X,ANATOMIC PATHOLOGY & CLINICAL PATHOLOGY PHYSICIAN,1
BS,Bachelor of Science,204C00000X,SPORTS MEDICINE (NEUROMUSCULOSKELETAL MEDICINE) PHYSICIAN,1
BS,Bachelor of Science,204F00000X,TRANSPLANT SURGERY PHYSICIAN,1
BS,Bachelor of Science,207LA0401X,ADDICTION MEDICINE (ANESTHESIOLOGY) PHYSICIAN,1
BS,Bachelor of Science,207LP3000X,PEDIATRIC ANESTHESIOLOGY PHYSICIAN,1
BS,Bachelor of Science,207N00000X,DERMATOLOGY PHYSICIAN,1
BS,Bachelor of Science,207PE0004X,EMERGENCY MEDICAL SERVICES (EMERGENCY MEDICINE) PHYSICIAN,1
BS,Bachelor of Science,207PS0010X,SPORTS MEDICINE (EMERGENCY MEDICINE) PHYSICIAN,1
BS,Bachelor of Science,207RA0401X,ADDICTION MEDICINE (INTERNAL MEDICINE) PHYSICIAN,1
BS,Bachelor of Science,207RC0200X,CRITICAL CARE MEDICINE (INTERNAL MEDICINE) PHYSICIAN,1
BS,Bachelor of Science,207RG0100X,GASTROENTEROLOGY PHYSICIAN,1
BS,Bachelor of Science,207RN0300X,NEPHROLOGY PHYSICIAN,1
BS,Bachelor of Science,207RX0202X,MEDICAL ONCOLOGY PHYSICIAN,1
BS,Bachelor of Science,207T00000X,NEUROLOGICAL SURGERY PHYSICIAN,1
BS,Bachelor of Science,207U00000X,NUCLEAR MEDICINE PHYSICIAN,1
BS,Bachelor of Science,207UN0901X,NUCLEAR CARDIOLOGY PHYSICIAN,1
BS,Bachelor of Science,207V00000X,OBSTETRICS & GYNECOLOGY PHYSICIAN,1
BS,Bachelor of Science,207XS0106X,ORTHOPAEDIC HAND SURGERY PHYSICIAN,1
BS,Bachelor of Science,207ZP0102X,ANATOMIC PATHOLOGY & CLINICAL PATHOLOGY PHYSICIAN,1
BS,Bachelor of Science,207ZP0105X,CLINICAL PATHOLOGY/LABORATORY MEDICINE PHYSICIAN,1
BS,Bachelor of Science,207ZP0213X,PEDIATRIC PATHOLOGY PHYSICIAN,1
BS,Bachelor of Science,2080A0000X,PEDIATRIC ADOLESCENT MEDICINE PHYSICIAN,1
BS,Bachelor of Science,2080N0001X,NEONATAL-PERINATAL MEDICINE PHYSICIAN,1
BS,Bachelor of Science,2080P0006X,DEVELOPMENTAL - BEHAVIORAL PEDIATRICS PHYSICIAN,1
BS,Bachelor of Science,2080P0205X,PEDIATRIC ENDOCRINOLOGY PHYSICIAN,1
BS,Bachelor of Science,208200000X,PLASTIC SURGERY PHYSICIAN,1
BS,Bachelor of Science,2083S0010X,SPORTS MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,1
BS,Bachelor of Science,2084B0040X,BEHAVIORAL NEUROLOGY & NEUROPSYCHIATRY PHYSICIAN,1
BS,Bachelor of Science,2084N0008X,NEUROMUSCULAR MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,1
BS,Bachelor of Science,2084N0400X,NEUROLOGY PHYSICIAN,1
BS,Bachelor of Science,2084P0802X,ADDICTION PSYCHIATRY PHYSICIAN,1
BS,Bachelor of Science,2084P0804X,CHILD & ADOLESCENT PSYCHIATRY PHYSICIAN,1
BS,Bachelor of Science,2084V0102X,VASCULAR NEUROLOGY PHYSICIAN,1
BS,Bachelor of Science,2086S0120X,PEDIATRIC SURGERY PHYSICIAN,1
BS,Bachelor of Science,2086S0122X,PLASTIC AND RECONSTRUCTIVE SURGERY PHYSICIAN,1
BS,Bachelor of Science,208U00000X,CLINICAL PHARMACOLOGY PHYSICIAN,1
CA,Certified Acupuncturist,207K00000X,ALLERGY & IMMUNOLOGY PHYSICIAN,1
CA,Certified Acupuncturist,207R00000X,INTERNAL MEDICINE PHYSICIAN,1
CA,Certified Acupuncturist,207RS0010X,SPORTS MEDICINE (INTERNAL MEDICINE) PHYSICIAN,1
CA,Certified Acupuncturist,207RX0202X,MEDICAL ONCOLOGY PHYSICIAN,1
CA,Certified Acupuncturist,207VG0400X,GYNECOLOGY PHYSICIAN,1
CA,Certified Acupuncturist,207X00000X,ORTHOPAEDIC SURGERY PHYSICIAN,1
CA,Certified Acupuncturist,2080P0205X,PEDIATRIC ENDOCRINOLOGY PHYSICIAN,1
CA,Certified Acupuncturist,2081P0004X,SPINAL CORD INJURY MEDICINE PHYSICIAN,1
CA,Certified Acupuncturist,2083X0100X,OCCUPATIONAL MEDICINE PHYSICIAN,1
CA,Certified Acupuncturist,208600000X,SURGERY PHYSICIAN,1
CAC,Certified Animal Chiropractor,207RI0011X,INTERVENTIONAL CARDIOLOGY PHYSICIAN,1
CAC,Certified Animal Chiropractor,2084A0401X,ADDICTION MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,1
CAC,Certified Animal Chiropractor,2084P0800X,PSYCHIATRY PHYSICIAN,1
CASAC,Credentialed Alcoholism and Substance Abuse Counselor,2084A0401X,ADDICTION MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,1
CASAC-T,Credentialed Alcoholism and Substance Abuse Counselor - Trainee,207QA0401X,ADDICTION MEDICINE (FAMILY MEDICINE) PHYSICIAN,1
CCC-SLP,Certificate of Clinical Competence in Speech-Language Pathology,207P00000X,EMERGENCY MEDICINE PHYSICIAN,1
CCC-SLP,Certificate of Clinical Competence in Speech-Language Pathology,207Q00000X,FAMILY MEDICINE PHYSICIAN,1
CCC-SLP,Certificate of Clinical Competence in Speech-Language Pathology,207RG0100X,GASTROENTEROLOGY PHYSICIAN,1
CCC-SLP,Certificate of Clinical Competence in Speech-Language Pathology,207YX0905X,OTOLARYNGOLOGY/FACIAL PLASTIC SURGERY PHYSICIAN,1
CCC-SLP,Certificate of Clinical Competence in Speech-Language Pathology,207ZP0213X,PEDIATRIC PATHOLOGY PHYSICIAN,1
CCC-SLP,Certificate of Clinical Competence in Speech-Language Pathology,2080P0006X,DEVELOPMENTAL - BEHAVIORAL PEDIATRICS PHYSICIAN,1
CCC-SLP,Certificate of Clinical Competence in Speech-Language Pathology,2084N0400X,NEUROLOGY PHYSICIAN,1
CCP,Certified Clinical Perfusionist,207Q00000X,FAMILY MEDICINE PHYSICIAN,1
CDCA,Certified Drug and Alcohol Counselor,207RA0401X,ADDICTION MEDICINE (INTERNAL MEDICINE) PHYSICIAN,1
CDCA,Certified Drug and Alcohol Counselor,2084P0802X,ADDICTION PSYCHIATRY PHYSICIAN,1
CDCES,Certified Diabetes Care and Education Specialist,207Q00000X,FAMILY MEDICINE PHYSICIAN,1
CDCES,Certified Diabetes Care and Education Specialist,207RC0000X,CARDIOVASCULAR DISEASE PHYSICIAN,1
CDCES,Certified Diabetes Care and Education Specialist,2080P0205X,PEDIATRIC ENDOCRINOLOGY PHYSICIAN,1
CDCES,Certified Diabetes Care and Education Specialist,2080P0206X,PEDIATRIC GASTROENTEROLOGY PHYSICIAN,1
CEO,Chief Executive Officer,207Q00000X,FAMILY MEDICINE PHYSICIAN,1
CER,Certificate,208600000X,SURGERY PHYSICIAN,1
CF-SLP,Clinical Fellow Speech-Language Pathologist,207R00000X,INTERNAL MEDICINE PHYSICIAN,1
CF-SLP,Clinical Fellow Speech-Language Pathologist,207ZC0006X,CLINICAL PATHOLOGY PHYSICIAN,1
CF-SLP,Clinical Fellow Speech-Language Pathologist,207ZP0213X,PEDIATRIC PATHOLOGY PHYSICIAN,1
CGC,Certified Genetic Counselor,207Q00000X,FAMILY MEDICINE PHYSICIAN,1
CGC,Certified Genetic Counselor,207SG0202X,CLINICAL BIOCHEMICAL GENETICS PHYSICIAN,1
CGC,Certified Genetic Counselor,207VM0101X,MATERNAL & FETAL MEDICINE PHYSICIAN,1
CGC,Certified Genetic Counselor,2080P0206X,PEDIATRIC GASTROENTEROLOGY PHYSICIAN,1
CGC,Certified Genetic Counselor,2080P0208X,PEDIATRIC INFECTIOUS DISEASES PHYSICIAN,1
CHW,Community Health Worker,207QA0000X,ADOLESCENT MEDICINE (FAMILY MEDICINE) PHYSICIAN,1
CHW,Community Health Worker,207VH0002X,HOSPICE AND PALLIATIVE MEDICINE (OBSTETRICS & GYNECOLOGY) PHYSICIAN,1
CHW,Community Health Worker,2080A0000X,PEDIATRIC ADOLESCENT MEDICINE PHYSICIAN,1
CHW,Community Health Worker,2083P0901X,PUBLIC HEALTH & GENERAL PREVENTIVE MEDICINE PHYSICIAN,1
CHW,Community Health Worker,2084P0800X,PSYCHIATRY PHYSICIAN,1
CIC,Certified in Infection Control,207KI0005X,CLINICAL & LABORATORY IMMUNOLOGY (ALLERGY & IMMUNOLOGY) PHYSICIAN,1
CIC,Certified in Infection Control,207ZB0001X,BLOOD BANKING & TRANSFUSION MEDICINE PHYSICIAN,1
CIC,Certified in Infection Control,207ZI0100X,IMMUNOPATHOLOGY PHYSICIAN,1
CIC,Certified in Infection Control,207ZM0300X,MEDICAL MICROBIOLOGY PHYSICIAN,1
CIC,Certified in Infection Control,207ZP0105X,CLINICAL PATHOLOGY/LABORATORY MEDICINE PHYSICIAN,1
CIC,Certified in Infection Control,2083P0901X,PUBLIC HEALTH & GENERAL PREVENTIVE MEDICINE PHYSICIAN,1
CLC,Certified Lactation Counselor,207Q00000X,FAMILY MEDICINE PHYSICIAN,1
CLC,Certified Lactation Counselor,207VX0000X,OBSTETRICS PHYSICIAN,1
CMA,Certified Medical Assistant,207R00000X,INTERNAL MEDICINE PHYSICIAN,1
CMA,Certified Medical Assistant,207RG0100X,GASTROENTEROLOGY PHYSICIAN,1
CMA,Certified Medical Assistant,207RH0002X,HOSPICE AND PALLIATIVE MEDICINE (INTERNAL MEDICINE) PHYSICIAN,1
CMA,Certified Medical Assistant,207T00000X,NEUROLOGICAL SURGERY PHYSICIAN,1
CMA,Certified Medical Assistant,2080C0008X,CHILD ABUSE PEDIATRICS PHYSICIAN,1
CMA,Certified Medical Assistant,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,1
CMA,Certified Medical Assistant,2083A0300X,ADDICTION MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,1
CMHC,Community Mental Health Counselor,207Q00000X,FAMILY MEDICINE PHYSICIAN,1
CMT,Certified Massage Therapist,207P00000X,EMERGENCY MEDICINE PHYSICIAN,1
CMT,Certified Massage Therapist,207Q00000X,FAMILY MEDICINE PHYSICIAN,1
CMT,Certified Massage Therapist,207XX0005X,SPORTS MEDICINE (ORTHOPAEDIC SURGERY) PHYSICIAN,1
CMT,Certified Massage Therapist,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,1
CMT,Certified Massage Therapist,2081S0010X,SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,1
CNIM,Certified Neurophysiologic Intraoperative Monitoring,2084N0400X,NEUROLOGY PHYSICIAN,1
COTA,Certified Occupational Therapy Assistant,202C00000X,INDEPENDENT MEDICAL EXAMINER PHYSICIAN,1
COTA,Certified Occupational Therapy Assistant,2080S0010X,PEDIATRIC SPORTS MEDICINE PHYSICIAN,1
COTA/L,Certified Occupational Therapy Assistant Licensed,2081N0008X,NEUROMUSCULAR MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,1
CPA,Certified Public Accountant,207Q00000X,FAMILY MEDICINE PHYSICIAN,1
CPA,Certified Public Accountant,2083P0901X,PUBLIC HEALTH & GENERAL PREVENTIVE MEDICINE PHYSICIAN,1
CPC,Certified Professional Coder,207RH0003X,HEMATOLOGY & ONCOLOGY PHYSICIAN,1
CPC,Certified Professional Coder,2084A0401X,ADDICTION MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,1
CPHT,Certified Pharmacy Technician,207PE0004X,EMERGENCY MEDICAL SERVICES (EMERGENCY MEDICINE) PHYSICIAN,1
CPSS,Certified Peer Support Specialist,2084P0800X,PSYCHIATRY PHYSICIAN,1
CRT,Certified Respiratory Therapist,207RP1001X,PULMONARY DISEASE PHYSICIAN,1
CRT,Certified Respiratory Therapist,2081P0301X,BRAIN INJURY MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,1
CRT,Certified Respiratory Therapist,2085B0100X,BODY IMAGING PHYSICIAN,1
CRT,Certified Respiratory Therapist,2085R0202X,DIAGNOSTIC RADIOLOGY PHYSICIAN,1
CRT,Certified Respiratory Therapist,2085U0001X,DIAGNOSTIC ULTRASOUND PHYSICIAN,1
CSFA,Certified School Food Administrator,207Q00000X,FAMILY MEDICINE PHYSICIAN,1
CSFA,Certified School Food Administrator,207VF0040X,UROGYNECOLOGY AND RECONSTRUCTIVE PELVIC SURGERY (OBSTETRICS & GYNECOLOGY) PHYSICIAN,1
CSFA,Certified School Food Administrator,207XX0801X,ORTHOPAEDIC TRAUMA PHYSICIAN,1
CSFA,Certified School Food Administrator,2086S0120X,PEDIATRIC SURGERY PHYSICIAN,1
CSFA,Certified School Food Administrator,2086S0122X,PLASTIC AND RECONSTRUCTIVE SURGERY PHYSICIAN,1
CSFA,Certified School Food Administrator,2086S0127X,TRAUMA SURGERY PHYSICIAN,1
CST,Certified Surgical Technologist,207Q00000X,FAMILY MEDICINE PHYSICIAN,1
CST,Certified Surgical Technologist,207T00000X,NEUROLOGICAL SURGERY PHYSICIAN,1
CST,Certified Surgical Technologist,208200000X,PLASTIC SURGERY PHYSICIAN,1
CST,Certified Surgical Technologist,2086S0120X,PEDIATRIC SURGERY PHYSICIAN,1
CST,Certified Surgical Technologist,2086S0127X,TRAUMA SURGERY PHYSICIAN,1
CST,Certified Surgical Technologist,2086S0129X,VASCULAR SURGERY PHYSICIAN,1
CSW,Clinical Social Worker,207R00000X,INTERNAL MEDICINE PHYSICIAN,1
CSW,Clinical Social Worker,207RA0401X,ADDICTION MEDICINE (INTERNAL MEDICINE) PHYSICIAN,1
CSW,Clinical Social Worker,207RH0003X,HEMATOLOGY & ONCOLOGY PHYSICIAN,1
CSW,Clinical Social Worker,207V00000X,OBSTETRICS & GYNECOLOGY PHYSICIAN,1
CSW,Clinical Social Worker,2080P0006X,DEVELOPMENTAL - BEHAVIORAL PEDIATRICS PHYSICIAN,1
CSW,Clinical Social Worker,2084N0400X,NEUROLOGY PHYSICIAN,1
CSW,Clinical Social Worker,2084N0600X,CLINICAL NEUROPHYSIOLOGY PHYSICIAN,1
CSW,Clinical Social Worker,2085R0202X,DIAGNOSTIC RADIOLOGY PHYSICIAN,1
CSW,Clinical Social Worker,208D00000X,GENERAL PRACTICE PHYSICIAN,1
CT,Computed Tomography Technologist,207U00000X,NUCLEAR MEDICINE PHYSICIAN,1
CT,Computed Tomography Technologist,2085B0100X,BODY IMAGING PHYSICIAN,1
CTRS,Certified Therapeutic Recreation Specialist,207ZP0102X,ANATOMIC PATHOLOGY & CLINICAL PATHOLOGY PHYSICIAN,1
CWS,Certified Wound Specialist,207RA0401X,ADDICTION MEDICINE (INTERNAL MEDICINE) PHYSICIAN,1
CWS,Certified Wound Specialist,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,1
CWS,Certified Wound Specialist,2083P0011X,UNDERSEA AND HYPERBARIC MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,1
DACBN,Diplomate of American Chiropractic Board of Nutrition,208D00000X,GENERAL PRACTICE PHYSICIAN,1
DACVD,Diplomate of the American College of Veterinary Dermatology,207N00000X,DERMATOLOGY PHYSICIAN,1
DBA,Doctor of Business Administration,207RI0001X,CLINICAL & LABORATORY IMMUNOLOGY (INTERNAL MEDICINE) PHYSICIAN,1
DC,Doctor of Chiropractic,202C00000X,INDEPENDENT MEDICAL EXAMINER PHYSICIAN,1
DC,Doctor of Chiropractic,207KI0005X,CLINICAL & LABORATORY IMMUNOLOGY (ALLERGY & IMMUNOLOGY) PHYSICIAN,1
DC,Doctor of Chiropractic,207P00000X,EMERGENCY MEDICINE PHYSICIAN,1
DC,Doctor of Chiropractic,207QS0010X,SPORTS MEDICINE (FAMILY MEDICINE) PHYSICIAN,1
DC,Doctor of Chiropractic,207RA0401X,ADDICTION MEDICINE (INTERNAL MEDICINE) PHYSICIAN,1
DC,Doctor of Chiropractic,207RC0000X,CARDIOVASCULAR DISEASE PHYSICIAN,1
DC,Doctor of Chiropractic,207T00000X,NEUROLOGICAL SURGERY PHYSICIAN,1
DC,Doctor of Chiropractic,208000000X,PEDIATRICS PHYSICIAN,1
DC,Doctor of Chiropractic,2081H0002X,HOSPICE AND PALLIATIVE MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,1
DC,Doctor of Chiropractic,2083A0300X,ADDICTION MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,1
DC,Doctor of Chiropractic,2083P0011X,UNDERSEA AND HYPERBARIC MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,1
DC,Doctor of Chiropractic,2083P0901X,PUBLIC HEALTH & GENERAL PREVENTIVE MEDICINE PHYSICIAN,1
DC,Doctor of Chiropractic,2083S0010X,SPORTS MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,1
DC,Doctor of Chiropractic,2084N0400X,NEUROLOGY PHYSICIAN,1
DC,Doctor of Chiropractic,2084N0402X,NEUROLOGY WITH SPECIAL QUALIFICATIONS IN CHILD NEUROLOGY PHYSICIAN,1
DC,Doctor of Chiropractic,2084P0800X,PSYCHIATRY PHYSICIAN,1
DDS,Doctor of Dental Surgery,207LH0002X,HOSPICE AND PALLIATIVE MEDICINE (ANESTHESIOLOGY) PHYSICIAN,1
DDS,Doctor of Dental Surgery,207LP2900X,PAIN MEDICINE (ANESTHESIOLOGY) PHYSICIAN,1
DDS,Doctor of Dental Surgery,207ND0900X,DERMATOPATHOLOGY PHYSICIAN,1
DDS,Doctor of Dental Surgery,207PE0005X,UNDERSEA AND HYPERBARIC MEDICINE (EMERGENCY MEDICINE) PHYSICIAN,1
DDS,Doctor of Dental Surgery,207QG0300X,GERIATRIC MEDICINE (FAMILY MEDICINE) PHYSICIAN,1
DDS,Doctor of Dental Surgery,207RA0000X,ADOLESCENT MEDICINE (INTERNAL MEDICINE) PHYSICIAN,1
DDS,Doctor of Dental Surgery,207RC0200X,CRITICAL CARE MEDICINE (INTERNAL MEDICINE) PHYSICIAN,1
DDS,Doctor of Dental Surgery,207RS0012X,SLEEP MEDICINE (INTERNAL MEDICINE) PHYSICIAN,1
DDS,Doctor of Dental Surgery,207ZC0006X,CLINICAL PATHOLOGY PHYSICIAN,1
DDS,Doctor of Dental Surgery,2080P0203X,PEDIATRIC CRITICAL CARE MEDICINE PHYSICIAN,1
DDS,Doctor of Dental Surgery,2083P0011X,UNDERSEA AND HYPERBARIC MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,1
DDS,Doctor of Dental Surgery,2084N0400X,NEUROLOGY PHYSICIAN,1
DDS,Doctor of Dental Surgery,2084S0012X,SLEEP MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,1
DDS,Doctor of Dental Surgery,2085R0202X,DIAGNOSTIC RADIOLOGY PHYSICIAN,1
DDS,Doctor of Dental Surgery,2086S0129X,VASCULAR SURGERY PHYSICIAN,1
DDS,Doctor of Dental Surgery,208VP0014X,INTERVENTIONAL PAIN MEDICINE PHYSICIAN,1
DMD,Doctor of Medicine in Dentistry,202C00000X,INDEPENDENT MEDICAL EXAMINER PHYSICIAN,1
DMD,Doctor of Medicine in Dentistry,207KA0200X,ALLERGY PHYSICIAN,1
DMD,Doctor of Medicine in Dentistry,207LP2900X,PAIN MEDICINE (ANESTHESIOLOGY) PHYSICIAN,1
DMD,Doctor of Medicine in Dentistry,207QG0300X,GERIATRIC MEDICINE (FAMILY MEDICINE) PHYSICIAN,1
DMD,Doctor of Medicine in Dentistry,207R00000X,INTERNAL MEDICINE PHYSICIAN,1
DMD,Doctor of Medicine in Dentistry,207RC0200X,CRITICAL CARE MEDICINE (INTERNAL MEDICINE) PHYSICIAN,1
DMD,Doctor of Medicine in Dentistry,207RI0011X,INTERVENTIONAL CARDIOLOGY PHYSICIAN,1
DMD,Doctor of Medicine in Dentistry,207Y00000X,OTOLARYNGOLOGY PHYSICIAN,1
DMD,Doctor of Medicine in Dentistry,207ZC0006X,CLINICAL PATHOLOGY PHYSICIAN,1
DMD,Doctor of Medicine in Dentistry,207ZC0500X,CYTOPATHOLOGY PHYSICIAN,1
DMD,Doctor of Medicine in Dentistry,207ZI0100X,IMMUNOPATHOLOGY PHYSICIAN,1
DMD,Doctor of Medicine in Dentistry,207ZP0213X,PEDIATRIC PATHOLOGY PHYSICIAN,1
DMD,Doctor of Medicine in Dentistry,2084N0400X,NEUROLOGY PHYSICIAN,1
DMD,Doctor of Medicine in Dentistry,2084P0800X,PSYCHIATRY PHYSICIAN,1
DMD,Doctor of Medicine in Dentistry,2084P0804X,CHILD & ADOLESCENT PSYCHIATRY PHYSICIAN,1
DMD,Doctor of Medicine in Dentistry,2084S0012X,SLEEP MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,1
DMD,Doctor of Medicine in Dentistry,2085R0202X,DIAGNOSTIC RADIOLOGY PHYSICIAN,1
DMD,Doctor of Medicine in Dentistry,2086S0120X,PEDIATRIC SURGERY PHYSICIAN,1
DMD,Doctor of Medicine in Dentistry,2086S0122X,PLASTIC AND RECONSTRUCTIVE SURGERY PHYSICIAN,1
DMD,Doctor of Medicine in Dentistry,2086X0206X,SURGICAL ONCOLOGY PHYSICIAN,1
DMD,Doctor of Medicine in Dentistry,208M00000X,HOSPITALIST PHYSICIAN,1
DPH,Doctor of Public Health,207Q00000X,FAMILY MEDICINE PHYSICIAN,1
DPH,Doctor of Public Health,2083P0901X,PUBLIC HEALTH & GENERAL PREVENTIVE MEDICINE PHYSICIAN,1
DPM,Doctor of Podiatric Medicine,204C00000X,SPORTS MEDICINE (NEUROMUSCULOSKELETAL MEDICINE) PHYSICIAN,1
DPM,Doctor of Podiatric Medicine,207P00000X,EMERGENCY MEDICINE PHYSICIAN,1
DPM,Doctor of Podiatric Medicine,207QG0300X,GERIATRIC MEDICINE (FAMILY MEDICINE) PHYSICIAN,1
DPM,Doctor of Podiatric Medicine,207T00000X,NEUROLOGICAL SURGERY PHYSICIAN,1
DPM,Doctor of Podiatric Medicine,208000000X,PEDIATRICS PHYSICIAN,1
DPM,Doctor of Podiatric Medicine,2081S0010X,SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,1
DPM,Doctor of Podiatric Medicine,208200000X,PLASTIC SURGERY PHYSICIAN,1
DPM,Doctor of Podiatric Medicine,2084P0800X,PSYCHIATRY PHYSICIAN,1
DPM,Doctor of Podiatric Medicine,2085R0202X,DIAGNOSTIC RADIOLOGY PHYSICIAN,1
DPM,Doctor of Podiatric Medicine,2085R0204X,VASCULAR & INTERVENTIONAL RADIOLOGY PHYSICIAN,1
DPM,Doctor of Podiatric Medicine,2086S0129X,VASCULAR SURGERY PHYSICIAN,1
DPM,Doctor of Podiatric Medicine,208M00000X,HOSPITALIST PHYSICIAN,1
DPT,Doctor of Physical Therapy,202D00000X,INTEGRATIVE MEDICINE PHYSICIAN,1
DPT,Doctor of Physical Therapy,207ND0900X,DERMATOPATHOLOGY PHYSICIAN,1
DPT,Doctor of Physical Therapy,207RG0100X,GASTROENTEROLOGY PHYSICIAN,1
DPT,Doctor of Physical Therapy,207RH0000X,HEMATOLOGY (INTERNAL MEDICINE) PHYSICIAN,1
DPT,Doctor of Physical Therapy,207RX0202X,MEDICAL ONCOLOGY PHYSICIAN,1
DPT,Doctor of Physical Therapy,207V00000X,OBSTETRICS & GYNECOLOGY PHYSICIAN,1
DPT,Doctor of Physical Therapy,207XS0106X,ORTHOPAEDIC HAND SURGERY PHYSICIAN,1
DPT,Doctor of Physical Therapy,207ZP0102X,ANATOMIC PATHOLOGY & CLINICAL PATHOLOGY PHYSICIAN,1
DPT,Doctor of Physical Therapy,2081P0004X,SPINAL CORD INJURY MEDICINE PHYSICIAN,1
DPT,Doctor of Physical Therapy,2083P0500X,PREVENTIVE MEDICINE/OCCUPATIONAL ENVIRONMENTAL MEDICINE PHYSICIAN,1
DPT,Doctor of Physical Therapy,2084P0804X,CHILD & ADOLESCENT PSYCHIATRY PHYSICIAN,1
DT,Dance Therapist,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,1
DT,Dance Therapist,2081P2900X,PAIN MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,1
DVM,Doctor of Veterinary Medicine,207PE0004X,EMERGENCY MEDICAL SERVICES (EMERGENCY MEDICINE) PHYSICIAN,1
DVM,Doctor of Veterinary Medicine,207PH0002X,HOSPICE AND PALLIATIVE MEDICINE (EMERGENCY MEDICINE) PHYSICIAN,1
DVM,Doctor of Veterinary Medicine,207PS0010X,SPORTS MEDICINE (EMERGENCY MEDICINE) PHYSICIAN,1
DVM,Doctor of Veterinary Medicine,207RC0000X,CARDIOVASCULAR DISEASE PHYSICIAN,1
DVM,Doctor of Veterinary Medicine,207RI0200X,INFECTIOUS DISEASE PHYSICIAN,1
DVM,Doctor of Veterinary Medicine,207XX0005X,SPORTS MEDICINE (ORTHOPAEDIC SURGERY) PHYSICIAN,1
DVM,Doctor of Veterinary Medicine,207ZM0300X,MEDICAL MICROBIOLOGY PHYSICIAN,1
DVM,Doctor of Veterinary Medicine,207ZP0105X,CLINICAL PATHOLOGY/LABORATORY MEDICINE PHYSICIAN,1
DVM,Doctor of Veterinary Medicine,2081S0010X,SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,1
DVM,Doctor of Veterinary Medicine,2083S0010X,SPORTS MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,1
DVM,Doctor of Veterinary Medicine,2084N0400X,NEUROLOGY PHYSICIAN,1
EMT,Emergency Medical Technician,2081S0010X,SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,1
EMTP,Emergency Medical Technician - Paramedic,207PE0004X,EMERGENCY MEDICAL SERVICES (EMERGENCY MEDICINE) PHYSICIAN,1
