"facetCredentialCode",facetCredentialName,chosenTaxonomyCode,chosenTaxonomyDescription,providerCount
CCC-SLP,Certificate of Clinical Competence in Speech-Language Pathology,2081P0010X,PEDIATRIC REHABILITATION MEDICINE PHYSICIAN,2
CCP,Certified Clinical Perfusionist,208G00000X,THORACIC SURGERY (CARDIOTHORACIC VASCULAR SURGERY) PHYSICIAN,2
CHW,Community Health Worker,207Q00000X,FAMILY MEDICINE PHYSICIAN,2
CMA,Certified Medical Assistant,207QA0401X,ADDICTION MEDICINE (FAMILY MEDICINE) PHYSICIAN,2
CMT,Certified Massage Therapist,204D00000X,NEUROMUSCULOSKELETAL MEDICINE & OMM PHYSICIAN,2
CMT,Certified Massage Therapist,2083P0901X,PUBLIC HEALTH & GENERAL PREVENTIVE MEDICINE PHYSICIAN,2
CNIM,Certified Neurophysiologic Intraoperative Monitoring,204R00000X,ELECTRODIAGNOSTIC MEDICINE PHYSICIAN,2
COTA,Certified Occupational Therapy Assistant,207QG0300X,GERIATRIC MEDICINE (FAMILY MEDICINE) PHYSICIAN,2
COTA,Certified Occupational Therapy Assistant,2081N0008X,NEUROMUSCULAR MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,2
COTA,Certified Occupational Therapy Assistant,2081P0010X,PEDIATRIC REHABILITATION MEDICINE PHYSICIAN,2
COTA/L,Certified Occupational Therapy Assistant Licensed,2080P0008X,PEDIATRIC NEURODEVELOPMENTAL DISABILITIES PHYSICIAN,2
CPM,Certified Professional Midwife,207V00000X,OBSTETRICS & GYNECOLOGY PHYSICIAN,2
CPM,Certified Professional Midwife,207VX0000X,OBSTETRICS PHYSICIAN,2
CSFA,Certified School Food Administrator,208200000X,PLASTIC SURGERY PHYSICIAN,2
CSFA,Certified School Food Administrator,2086S0129X,VASCULAR SURGERY PHYSICIAN,2
CSFA,Certified School Food Administrator,208G00000X,THORACIC SURGERY (CARDIOTHORACIC VASCULAR SURGERY) PHYSICIAN,2
CSW,Clinical Social Worker,2084A0401X,ADDICTION MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,2
CSW,Clinical Social Worker,2084P0802X,ADDICTION PSYCHIATRY PHYSICIAN,2
CT,Computed Tomography Technologist,207ZC0500X,CYTOPATHOLOGY PHYSICIAN,2
DC,Doctor of Chiropractic,204C00000X,SPORTS MEDICINE (NEUROMUSCULOSKELETAL MEDICINE) PHYSICIAN,2
DC,Doctor of Chiropractic,204D00000X,NEUROMUSCULOSKELETAL MEDICINE & OMM PHYSICIAN,2
DC,Doctor of Chiropractic,204R00000X,ELECTRODIAGNOSTIC MEDICINE PHYSICIAN,2
DC,Doctor of Chiropractic,207PS0010X,SPORTS MEDICINE (EMERGENCY MEDICINE) PHYSICIAN,2
DC,Doctor of Chiropractic,2083X0100X,OCCUPATIONAL MEDICINE PHYSICIAN,2
DDS,Doctor of Dental Surgery,207LP3000X,PEDIATRIC ANESTHESIOLOGY PHYSICIAN,2
DDS,Doctor of Dental Surgery,207Y00000X,OTOLARYNGOLOGY PHYSICIAN,2
DDS,Doctor of Dental Surgery,2081P2900X,PAIN MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,2
DDS,Doctor of Dental Surgery,2084P0800X,PSYCHIATRY PHYSICIAN,2
DDS,Doctor of Dental Surgery,2086S0122X,PLASTIC AND RECONSTRUCTIVE SURGERY PHYSICIAN,2
DMD,Doctor of Medicine in Dentistry,207ZP0101X,ANATOMIC PATHOLOGY PHYSICIAN,2
DMD,Doctor of Medicine in Dentistry,208000000X,PEDIATRICS PHYSICIAN,2
DMD,Doctor of Medicine in Dentistry,2082S0099X,PLASTIC SURGERY WITHIN THE HEAD AND NECK (PLASTIC SURGERY) PHYSICIAN,2
DPM,Doctor of Podiatric Medicine,202K00000X,PHLEBOLOGY PHYSICIAN,2
DPM,Doctor of Podiatric Medicine,204D00000X,NEUROMUSCULOSKELETAL MEDICINE & OMM PHYSICIAN,2
DPM,Doctor of Podiatric Medicine,207N00000X,DERMATOLOGY PHYSICIAN,2
DPM,Doctor of Podiatric Medicine,207RG0300X,GERIATRIC MEDICINE (INTERNAL MEDICINE) PHYSICIAN,2
DPM,Doctor of Podiatric Medicine,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,2
DPM,Doctor of Podiatric Medicine,208VP0000X,PAIN MEDICINE PHYSICIAN,2
DPT,Doctor of Physical Therapy,207QS0010X,SPORTS MEDICINE (FAMILY MEDICINE) PHYSICIAN,2
DPT,Doctor of Physical Therapy,207R00000X,INTERNAL MEDICINE PHYSICIAN,2
DPT,Doctor of Physical Therapy,2080P0008X,PEDIATRIC NEURODEVELOPMENTAL DISABILITIES PHYSICIAN,2
DPT,Doctor of Physical Therapy,2081P0301X,BRAIN INJURY MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,2
DPT,Doctor of Physical Therapy,2083X0100X,OCCUPATIONAL MEDICINE PHYSICIAN,2
DPT,Doctor of Physical Therapy,2084N0400X,NEUROLOGY PHYSICIAN,2
DPT,Doctor of Physical Therapy,2085R0202X,DIAGNOSTIC RADIOLOGY PHYSICIAN,2
DT,Dance Therapist,2080P0006X,DEVELOPMENTAL - BEHAVIORAL PEDIATRICS PHYSICIAN,2
DVM,Doctor of Veterinary Medicine,207N00000X,DERMATOLOGY PHYSICIAN,2
DVM,Doctor of Veterinary Medicine,207RH0003X,HEMATOLOGY & ONCOLOGY PHYSICIAN,2
DVM,Doctor of Veterinary Medicine,2083P0901X,PUBLIC HEALTH & GENERAL PREVENTIVE MEDICINE PHYSICIAN,2
EMT,Emergency Medical Technician,207PS0010X,SPORTS MEDICINE (EMERGENCY MEDICINE) PHYSICIAN,2
EdD,Doctor of Education,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,2
EdD,Doctor of Education,2084P0800X,PSYCHIATRY PHYSICIAN,2
LAC,Licensed Acupuncturist,202D00000X,INTEGRATIVE MEDICINE PHYSICIAN,2
LAC,Licensed Acupuncturist,207Q00000X,FAMILY MEDICINE PHYSICIAN,2
LAC,Licensed Acupuncturist,207R00000X,INTERNAL MEDICINE PHYSICIAN,2
LADC,Licensed Alcohol and Drug Counselor,2084P0802X,ADDICTION PSYCHIATRY PHYSICIAN,2
LAT,Licensed Athletic Trainer,207X00000X,ORTHOPAEDIC SURGERY PHYSICIAN,2
LCADC,Licensed Clinical Alcohol and Drug Counselor,2084P0800X,PSYCHIATRY PHYSICIAN,2
LCSW,Licensed Clinical Social Worker,207RA0401X,ADDICTION MEDICINE (INTERNAL MEDICINE) PHYSICIAN,2
LCSW,Licensed Clinical Social Worker,2084N0600X,CLINICAL NEUROPHYSIOLOGY PHYSICIAN,2
LCSW,Licensed Clinical Social Worker,208M00000X,HOSPITALIST PHYSICIAN,2
LCSW-A,Licensed Clinical Social Worker Associate,2084P0800X,PSYCHIATRY PHYSICIAN,2
LCSWA,Licensed Clinical Social Worker Associate,2084P0804X,CHILD & ADOLESCENT PSYCHIATRY PHYSICIAN,2
LGPC,Licensed Graduate Professional Counselor,2084P0804X,CHILD & ADOLESCENT PSYCHIATRY PHYSICIAN,2
LGSW,Licensed Graduate Social Worker,2084P0800X,PSYCHIATRY PHYSICIAN,2
LISW,Licensed Independent Social Worker,2084P0802X,ADDICTION PSYCHIATRY PHYSICIAN,2
LMFT,Licensed Marriage and Family Therapist,207Q00000X,FAMILY MEDICINE PHYSICIAN,2
LMHCA,Licensed Mental Health Counselor Associate,2084P0800X,PSYCHIATRY PHYSICIAN,2
LMP,Licensed Massage Practitioner,204C00000X,SPORTS MEDICINE (NEUROMUSCULOSKELETAL MEDICINE) PHYSICIAN,2
LP,Licensed Psychologist,2084N0400X,NEUROLOGY PHYSICIAN,2
LPC,Licensed Professional Counselor,2084A0401X,ADDICTION MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,2
LPCA,Licensed Professional Counselor Associate,2084P0800X,PSYCHIATRY PHYSICIAN,2
LPTA,Licensed Physical Therapist Assistant,2081P2900X,PAIN MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,2
LSW,Licensed Social Worker,2084A0401X,ADDICTION MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,2
LSW,Licensed Social Worker,2084N0400X,NEUROLOGY PHYSICIAN,2
MHC,Mental Health Counselor,207RH0003X,HEMATOLOGY & ONCOLOGY PHYSICIAN,2
MT-BC,Music Therapist Board Certified,2080P0006X,DEVELOPMENTAL - BEHAVIORAL PEDIATRICS PHYSICIAN,2
ND,Doctor of Naturopathic Medicine,202C00000X,INDEPENDENT MEDICAL EXAMINER PHYSICIAN,2
ND,Doctor of Naturopathic Medicine,2083B0002X,OBESITY MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,2
NMD,Doctor of Naturopathic Medicine,207N00000X,DERMATOLOGY PHYSICIAN,2
NMD,Doctor of Naturopathic Medicine,208000000X,PEDIATRICS PHYSICIAN,2
NMD,Doctor of Naturopathic Medicine,2083P0901X,PUBLIC HEALTH & GENERAL PREVENTIVE MEDICINE PHYSICIAN,2
NMD,Doctor of Naturopathic Medicine,2083S0010X,SPORTS MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,2
OD,Doctor of Optometry,207RN0300X,NEPHROLOGY PHYSICIAN,2
